covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),lab,HR,HRlo,HRhi,txt
N1,1.0682071188330828,2.9101572538093485,0.3729217382185204,0.33729394287270853,1.799120294793457,1.4011508615223924,6.044327898208856,0.0,2.8644270616564245,0.004177643535676558,7.903094887338803,N1 vs N0,2.9101572538093485,1.4011508615223924,6.044327898208855,"HR 2.91 (1.40-6.04), p=0.004"
T34,0.9695299751439174,2.636704851235426,0.6456652988679956,-0.2959507567046441,2.2350107069924787,0.7438240554660004,9.34658192544327,0.0,1.5015983929192622,0.13320085865056736,2.9083247124262157,T3/T4 vs T1,2.636704851235426,0.7438240554660003,9.346581925443267,"HR 2.64 (0.74-9.35), p=0.133"
T2,-0.7184367759381579,0.4875137538394776,0.5582724085153126,-1.8126305901906026,0.37575703831428686,0.1632241955832894,1.4560933159041463,0.0,-1.2868928590771511,0.19813163459803143,2.3354688490161712,T2 vs T1,0.4875137538394776,0.1632241955832894,1.4560933159041463,"HR 0.49 (0.16-1.46), p=0.198"
age,-0.010387954615528683,0.9896658138425258,0.01744009473044395,-0.04456991217416561,0.023794002943108246,0.9564087331423161,1.024079338831012,0.0,-0.595636364141713,0.5514181782509995,0.8587812663490488,Age (per year),0.9896658138425258,0.9564087331423161,1.024079338831012,"HR 0.99 (0.96-1.02), p=0.551"
LONP1_log2RSEM,-0.016595665394917105,0.9835412840245555,0.3100639857647334,-0.6243099103967346,0.5911185796069004,0.5356309343472415,1.806007449064827,0.0,-0.05352335697416134,0.957314921145094,0.06293449887367729,LONP1 (per log2),0.9835412840245555,0.5356309343472415,1.806007449064827,"HR 0.98 (0.54-1.81), p=0.957"
