model,term,beta,se,p
unadjusted,intercept,5.132692307692308,0.1617901972124788,0.0
unadjusted,tumor,0.4689557186234824,0.16521331435246003,0.0048271166564073376
adjusted,intercept,5.263786226369925,0.2228117273550092,0.0
adjusted,epi_score,0.06592511295078551,0.077003421254626,0.39257747487422634
adjusted,tumor,0.3322558100024115,0.22981205628730583,0.1492385274894601
