"ep","n","ev","hr","lo","hi","p"
"OS",281,68,0.843052204041207,0.54090229739038,1.31398410058108,0.450849539705755
"DSS",277,51,0.985673729055774,0.592196691092666,1.64059123389916,0.95573145807834
"PFS",281,68,0.852155094444852,0.550263807226866,1.31967302855688,0.473411597379897
