"gene","spearman_rho","p"
"RPS10",0.349227625336014,7.39274630257206e-10
"EIF3B",0.349198819922485,7.41809956151421e-10
"TOMM22",0.349010876404707,7.58560252536755e-10
"ERAL1",0.348872634030763,7.71114660761939e-10
"ATRIP",0.348587295159864,7.97668326242851e-10
"FKBP4",0.348426740395933,8.12997438139447e-10
"RNASEK",0.348317185380544,8.23620963780797e-10
"SNRPD1",0.347809076774691,8.74678872053637e-10
"CUTA",0.347602244461156,8.96330668265345e-10
"ENDOG",0.347506856042585,9.06490553935781e-10
"PDAP1",0.347406273205181,9.17324703021809e-10
"MTMR14",0.347349606817911,9.23483662725041e-10
"COMMD5",0.346542110799315,1.0157305871124e-09
"NDUFAB1",0.34644388906138,1.0275432916069e-09
"NDUFB2",0.346272473239889,1.04847870659423e-09
"PFKL",0.34617649454645,1.06038088532213e-09
"RPLP2",0.345993863502479,1.0833916859548e-09
"LRRC45",0.345631670843845,1.13046792769838e-09
"CTU2",0.344589009318079,1.2773352395074e-09
"NARF",0.344432822588166,1.30087108165799e-09
"SEC13",0.34425987205202,1.32742376967588e-09
"ZNF593",0.344006762188881,1.3672327381735e-09
"EEF1A1",0.343953873560762,1.37569605137147e-09
"FAAP20",0.343474570368438,1.45474713862513e-09
"SURF2",0.343399015185411,1.46760365494807e-09
"NICOL1",0.343248377039252,1.49356592732833e-09
"CYB561D2",0.34324696037957,1.49381218762002e-09
"ACD",0.342485269690684,1.63207995001879e-09
"MRPL52",0.342400270109779,1.64825821690655e-09
"LAMTOR4",0.342378429939686,1.65244017325399e-09
"ZNF581",0.34211693817343,1.7033164050166e-09
"ATP5PO",0.341768912111614,1.77338949465233e-09
"TEDC2",0.341648023818771,1.79837737257138e-09
"IMP4",0.341571051976063,1.81446509977359e-09
"LSM3",0.341299525537062,1.87233789677164e-09
"NDUFAF3",0.340993999265698,1.93959717983132e-09
"PWP2",0.340886333129885,1.96385248473243e-09
"RPS3A",0.340799916889299,1.98353298963922e-09
"CNOT10",0.340731917224575,1.99915354558604e-09
"KDM4B",0.340690716038831,2.00867601788683e-09
"ZGLP1",0.340688000774441,2.00930511502468e-09
"WDR83OS",0.340678556376562,2.01149476655690e-09
"UBL5",0.339773310839926,2.23246153201124e-09
"DUS1L",0.339542867531695,2.29236418410856e-09
"RPS23",0.339435673615776,2.32075671461469e-09
"WDR24",0.338791093460581,2.49881038502425e-09
