lib,term,p,padj,n_overlap,genes
GO_Biological_Process_2023,Regulation Of Nuclear Division (GO:0051783),0.004161929576551853,0.0826761686152868,2,PDXP;PIN1
GO_Biological_Process_2023,Response To ATP (GO:0033198),0.004609052918383906,0.0891487867108466,2,P2RY11;PDXP
GO_Biological_Process_2023,mRNA Processing (GO:0006397),0.004816480010837254,0.09077212328116364,5,SF3B5;XAB2;ALYREF;PIN1;LSM4
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),0.00507662260532069,0.09328294037276767,3,NDUFA7;NDUFB7;UQCRC1
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),0.005504504862005076,0.09867831886765197,3,NDUFA7;NDUFB7;UQCRC1
GO_Biological_Process_2023,Negative Regulation Of Protein Metabolic Process (GO:0051248),0.006824027842150436,0.11942048723763263,4,PHB1;IFRD2;RACK1;PIN1
GO_Biological_Process_2023,Peptidyl-Proline Modification (GO:0018208),0.00831949464007076,0.13938797132772107,2,NTMT1;PIN1
GO_Biological_Process_2023,Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032436),0.008809923408872142,0.13938797132772107,3,RACK1;RAD23A;STUB1
GO_Biological_Process_2023,Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000060),0.008809923408872142,0.13938797132772107,3,RACK1;RAD23A;STUB1
GO_Biological_Process_2023,Regulation Of Cell Division (GO:0051302),0.008809923408872142,0.13938797132772107,3,RACK1;PDXP;PIN1
GO_Biological_Process_2023,Protein Insertion Into Mitochondrial Membrane (GO:0051204),0.008929877998214632,0.13938797132772107,2,NDUFA13;SAMM50
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),0.009102887923443008,0.13938797132772107,3,RPS9;RPSA;RRP9
GO_Biological_Process_2023,Positive Regulation Of Proteasomal Protein Catabolic Process (GO:1901800),0.010980135413536544,0.16217749799424508,3,RACK1;RAD23A;STUB1
GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),0.011032482856751366,0.16217749799424508,8,RPS9;PHB1;EXOSC4;DDX49;BRAT1;DHPS;MLST8;RAD23A
GO_Biological_Process_2023,Negative Regulation Of Amide Metabolic Process (GO:0034249),0.011996428292654336,0.17288970186472427,3,IFRD2;RACK1;PIN1
GO_Biological_Process_2023,Histone Deubiquitination (GO:0016578),0.012993068528371718,0.1736346430609675,2,BABAM1;SF3B5
GO_Biological_Process_2023,Inner Mitochondrial Membrane Organization (GO:0007007),0.012993068528371718,0.1736346430609675,2,NDUFA13;SAMM50
GO_Biological_Process_2023,Cellular Response To Glucose Stimulus (GO:0071333),0.012993068528371718,0.1736346430609675,2,RACK1;RAB11B
GO_Biological_Process_2023,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",0.012993068528371718,0.1736346430609675,2,NDUFA7;NDUFB7
GO_Biological_Process_2023,Regulation Of Protein Localization (GO:0032880),0.013433050353766835,0.17558752466180547,3,RACK1;PIN1;RAB11B
GO_Biological_Process_2023,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",0.013616991708466546,0.17558752466180547,4,SF3B5;XAB2;PIN1;LSM4
GO_Biological_Process_2023,Signal Release From Synapse (GO:0099643),0.016068631553737944,0.20362834813788602,2,RAB3A;STXBP2
GO_Biological_Process_2023,Vitamin Transport (GO:0051180),0.016881532408577954,0.20679877200507993,2,SLC19A1;CD320
GO_Biological_Process_2023,Organelle Transport Along Microtubule (GO:0072384),0.016881532408577954,0.20679877200507993,2,MAP1S;KXD1
GO_Biological_Process_2023,Regulation Of Cellular Response To Stress (GO:0080135),0.017437491692078474,0.21010748186356848,3,BABAM1;SF3B5;CHCHD2
GO_Biological_Process_2023,Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032434),0.018309776436083253,0.2170594464600192,3,RACK1;RAD23A;STUB1
GO_Biological_Process_2023,DNA-templated Transcription (GO:0006351),0.018976693877274037,0.22139476190153043,4,XAB2;SNAPC2;CCDC124;MRPL12
GO_Biological_Process_2023,Lysosome Localization (GO:0032418),0.019422739883152303,0.22305802834557723,2,RAB3A;KXD1
GO_Biological_Process_2023,Regulation Of Translation (GO:0006417),0.019926573013715122,0.22414133274373704,4,IFRD2;RACK1;ELAVL1;ELP6
GO_Biological_Process_2023,Neurotransmitter Secretion (GO:0007269),0.020303338701821997,0.22414133274373704,2,RAB3A;STXBP2
