sample,sub,n,LONP1,FIS1,MFF,DNM1L,MFN1,MFN2,OPA1,CLPP,HSPD1,HSPA9,fission,fusion
GSM6360683_N_2,16,107,0.122909606,0.55764276,0.22172916,0.18889688,0.19275278,0.07174296,0.12866639,0.20419036,0.9420184,0.531901,0.38968596,0.13105404
GSM6360683_N_2,18,66,0.18516485,0.7344646,0.3248431,0.16091911,0.07190412,0.11166494,0.19068216,0.41440305,0.7966147,0.6495615,0.52965385,0.12475041
GSM6360684_HSIL_1,3,177,0.083818585,0.6236863,0.14885706,0.12088944,0.072504364,0.0076348595,0.041404214,0.19263864,0.55397457,0.24102339,0.3862717,0.04051448
GSM6360684_HSIL_1,15,234,0.15086266,0.70115846,0.2673093,0.33747217,0.19987443,0.13516408,0.25325158,0.2660103,0.860785,0.6180324,0.4842339,0.1960967
GSM6360684_HSIL_1,16,107,0.23687364,0.8691741,0.23800983,0.21152695,0.17877689,0.106974415,0.23342477,0.16646224,1.218232,0.55005795,0.55359197,0.17305869
GSM6360685_HSIL_2,13,128,0.13263977,0.98438096,0.29024494,0.27603978,0.20319757,0.12303089,0.21685259,0.40956596,0.82873434,0.52314204,0.63731295,0.18102701
GSM6360685_HSIL_2,15,491,0.15010604,0.93386954,0.2011209,0.20220584,0.17496377,0.10106335,0.2288252,0.27393648,0.760463,0.4764427,0.5674952,0.1682841
GSM6360685_HSIL_2,16,56,0.3274834,1.1387547,0.18732214,0.23232879,0.23580624,0.09364068,0.19286416,0.28863993,0.80843383,0.30328622,0.66303843,0.17410369
GSM6360685_HSIL_2,19,51,0.10029041,0.8722148,0.24763523,0.20170327,0.23137252,0.18060793,0.22251512,0.26174468,0.68655837,0.4225963,0.559925,0.21149851
GSM6360685_HSIL_2,21,2611,0.22108762,0.9030142,0.301374,0.27265668,0.2577475,0.16111802,0.29100153,0.4168286,1.1547434,0.70107734,0.6021941,0.23662233
GSM6360685_HSIL_2,22,332,0.25097358,0.8702662,0.3426513,0.36063647,0.26348242,0.19781049,0.3659558,0.45969456,1.0088029,0.6928764,0.6064588,0.27574956
GSM6360685_HSIL_2,25,63,0.22880512,0.9977032,0.27673826,0.32168135,0.225246,0.10492436,0.31383908,0.447747,1.0599942,0.7137644,0.63722074,0.21466982
