sample,stage,n,mean_LONP1,pct_pos
GSM6360680_N_HPV_NEG_1,Normal_HPVneg,3017,0.13002175343652633,0.31852833941000996
GSM6360681_N_HPV_NEG_2,Normal_HPVneg,2234,0.13393912901253358,0.22918531781557744
GSM6360682_N_1,Normal_HPVpos,2356,0.14624814468590833,0.2801358234295416
GSM6360683_N_2,Normal_HPVpos,1870,0.13734956429411765,0.22620320855614973
GSM6360684_HSIL_1,HSIL,659,0.13466136922610017,0.2094081942336874
GSM6360685_HSIL_2,HSIL,3881,0.20675753965060553,0.27724813192476166
GSM6360686_SCC_4,Cancer,700,0.10598692179428572,0.1657142857142857
GSM6360687_SCC_5,Cancer,3085,0.1191587436693679,0.22366288492706646
GSM6360688_ADC_6,Cancer,2561,0.10799432310425615,0.19328387348691917
