gene,rho_pb,p_pb,pct_rank_pb,rho_pb_sample_centered,p_pb_sample_centered,detect_frac_epi,bulk_rho_TCGA,on_19p13_3
KRT18,0.6950998185117967,1.4127361331381118e-09,0.9933521923620934,0.6159832661724446,2.6476830132916017e-07,0.8104405048370018,0.1747910131831989,False
C11orf54,0.6947922113876157,1.4464244822832906e-09,0.9932814710042432,0.6914085330216247,1.8708799962616524e-09,0.26788783578059183,,
TKFC,0.6944645247449227,1.4831484088233523e-09,0.9932107496463932,0.6503737426558799,3.2829929202886656e-08,0.19098364681039756,0.1461952652872337,False
IMPAD1,0.6942385185640899,1.5089897848194394e-09,0.9931400282885431,0.580916054015811,1.7458607416884083e-06,0.35932819329172827,,
DPM3,0.6941154757144176,1.523237137716181e-09,0.9930693069306931,0.6484665784859578,3.711445492852788e-08,0.5536021214947657,0.2299462967925644,False
DNAJC30,0.6938693900150728,1.5521150110663484e-09,0.992998585572843,0.612415023531945,3.241710977813314e-07,0.2021804252811553,0.2592711522047356,False
DLAT,0.6935002614660556,1.596405965219228e-09,0.9929278642149929,0.6392383647605279,6.639592423136394e-08,0.2175514413396955,-0.006089983861885,False
TM9SF2,0.6933772186163831,1.6114337750481105e-09,0.9928571428571429,0.6029407241071704,5.482783329669235e-07,0.6274615724597223,-0.1335019945387769,False
ERLIN2,0.6925159186686763,1.72044217024836e-09,0.9927864214992927,0.7109108246946999,4.0392240417126677e-10,0.33477385454008046,-0.1308712575097719,False
SURF1,0.6912239687471162,1.8971335351519433e-09,0.9927157001414427,0.6900550616752283,2.071684372564843e-09,0.49044836222552757,0.3151342934350809,False
EIF2AK1,0.6909778830477714,1.932681326859413e-09,0.9926449787835926,0.7114029960933895,3.8796597150054445e-10,0.48288562589002004,0.1653315042682775,False
MIA2,0.6909163616229352,1.9416663289719274e-09,0.9925742574257426,0.6469900642898889,4.0787931778902046e-08,0.527230761675496,-0.0972506177226486,False
SLC39A3,0.690854840198099,1.9506908786408577e-09,0.9925035360678925,0.6501276569565351,3.335530322797561e-08,0.2960271079899802,0.5392352162708087,True
LYRM2,0.6904857116490818,2.0056779069522394e-09,0.9924328147100424,0.6461902857670183,4.291820788729272e-08,0.4652556106663369,0.120445114472005,False
RUNDC1,0.6898089759758836,2.1103204633084964e-09,0.9923620933521924,0.6502506998062075,3.309163304082704e-08,0.23321710946325566,0.0260762186519775,False
TMBIM4,0.6897474545510474,2.1200855486937264e-09,0.9922913719943423,0.6137684948783414,3.0030168174175116e-07,0.7028925011047844,-0.1246515312320335,False
SNX27,0.6895628902765388,2.1496381668765904e-09,0.9922206506364922,0.6950382970869605,1.4194137603592627e-09,0.2909198055296375,-0.1437397218388714,False
RBBP9,0.6894398474268664,2.1695561549429804e-09,0.9921499292786421,0.4362176628010705,0.0006193381261592878,0.1862201050925752,-0.0288363439319152,False
KIF9,0.6890813172754701,2.228595693577464e-09,0.9920792079207921,0.58368451813344,1.516373549578894e-06,0.26086529489762056,0.3912281613055935,False
MECR,0.6884353323791358,2.338829557454479e-09,0.992008486562942,0.5856532037281983,1.370689222887745e-06,0.22084172273241817,0.1903959917975404,False
CBY1,0.6880248546556338,2.4115366364725988e-09,0.9919377652050919,0.6543111138453966,2.541532867661513e-08,0.328880813239685,0.1416104823372052,False
MAGIX,0.6875326832569443,2.5015354815976313e-09,0.9918670438472419,0.683779876341936,3.3001108705149866e-09,0.16107646221087363,0.0643831686663212,False
